Name,Address,city,country,phone,email,website,facebook,instagram,twitter,googlemap,license,mon,tue,wed,thu,fri,sat,sun,image,Online_Shop,StoreFront,Recreational,Medical,Curbside_Pickup,Accessible,Security
Day 'N' Nite,407B Bloor St E,"Toronto, ON CA M4W 1H7",Canada,416-975-0762,info@daynnite.ca,https://www.daynnite.ca/,,https://www.instagram.com/daynnitecannabis,,https://www.google.com/maps/dir/?api=1&destination=407B%20Bloor%20St%20E%20Toronto%2C%20ON%20CA%20M4W%201H7,Adult-Use Retail: CRSA1172661,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/306/740/avatar/1629127938-screen_shot_2021-08-16_at_113146_am.png?fit=crop&auto=format&w=140&h=140
Mota Toke,249 Greenwood ave.,"Toronto, ON CA M4L2R4",Canada,416 466 3113,info@motatoke.com,http://www.motatoke.com/,,https://www.instagram.com/@mota.toke,https://twitter.com/@motatoke,https://www.google.com/maps/dir/?api=1&destination=249%20Greenwood%20ave.%20Toronto%2C%20ON%20CA%20M4L2R4,Adult-Use Retail: CRSA1178732,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 7:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/306/156/avatar/1608599076-yes.jpg?fit=crop&auto=format&w=140&h=140
Fire & Flower Cannabis Co. Yonge Gerrard,378 Yonge Street,"Toronto, ON CA M5B 1S6",Canada,416-613-8344,info@fireandflower.com,https://fireandflower.com/,,,https://www.facebook.com/fireandflowerco,https://www.google.com/maps/dir/?api=1&destination=378%20Yonge%20Street%20Toronto%2C%20ON%20CA%20M5B%201S6,,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/304/187/avatar/1628794724-fire_and_flower_4.jpeg?fit=crop&auto=format&w=140&h=140
Mind Flower - Leaside,1491 Bayview Avenue,"East York, ON CA M4G 3A8",Canada,(416) 400-2045,info@mindflower.ca,https://www.mindflower.ca/,,,https://www.instagram.com/@mindflowercannabisco,https://www.google.com/maps/dir/?api=1&destination=1491%20Bayview%20Avenue%20East%20York%2C%20ON%20CA%20M4G%203A8,Adult-Use Retail: CRSA1171747,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/010/avatar/1615573544-Screen_Shot_2021-03-12_at_1.25.06_PM.png?fit=crop&auto=format&w=140&h=140
Green Merchant - 294 Danforth Ave,294 Danforth Avenue,"Toronto, ON CA M4K 1N6",Canada,416-551-8420,danforth@mygreenmerchant.com,https://mygreenmerchant.com/,,,https://www.facebook.com/MyGreenMerchant,https://www.google.com/maps/dir/?api=1&destination=294%20Danforth%20Avenue%20Toronto%2C%20ON%20CA%20M4K%201N6,Adult-Use Retail: CROL1176392,10:30AM - 10:30PM,10:30AM - 10:30PM,10:30AM - 10:30PM,10:30AM - 10:30PM,10:30AM - 10:30PM,10:30AM - 10:30PM,10:30AM - 10:30PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/304/507/avatar/1636474034-img_3301.jpg?fit=crop&auto=format&w=140&h=140
TREES Cannabis - Port Union,"305 Port Union Road, Unit 1","Scarborough, ON CA M1C 2L5",Canada,(647) 947-9150,portunion@treescannabis.ca,https://treescannabis.ca/,,,https://www.facebook.com/treescannabis,https://www.google.com/maps/dir/?api=1&destination=305%20Port%20Union%20Road%2C%20Unit%201%20Scarborough%2C%20ON%20CA%20M1C%202L5,Adult-Use Retail: CRSA1172468,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00AM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/249/avatar/1623932464-download__1_.png?fit=crop&auto=format&w=140&h=140
Puffs Haven - 569 Yonge St,569 Yonge Street,"Toronto, ON CA M4Y 1Z2",Canada,(416) 546-3164,info@puffshaven.com,http://www.puffshaven.com/,,,https://www.facebook.com/Puffs-Haven-102075761840636,https://www.google.com/maps/dir/?api=1&destination=569%20Yonge%20Street%20Toronto%2C%20ON%20CA%20M4Y%201Z2,Adult-Use Retail: CROL1188717,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/202/avatar/1615570434-Puffs_Haven_sf_for_WM.png?fit=crop&auto=format&w=140&h=140
Spot420 The Cannabis Store - North York,1646 Victoria Park Ave Unit 8,"North York, ON CA M1R 1P7",Canada,4162857768,NorthYorkspot420@gmail.com,https://www.spot420.ca/,,,,https://www.google.com/maps/dir/?api=1&destination=1646%20Victoria%20Park%20Ave%20Unit%208%20North%20York%2C%20ON%20CA%20M1R%201P7,Adult-Use Retail: CRSA1263635,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/328/964/avatar/1670524588-1664992839-1644521912-spot420.jpeg?fit=crop&auto=format&w=140&h=140
Soul Rebel Cannabis Co - Scarborough,2416B Eglinton Avenue East,"Scarborough, ON CA M1K 2P3",Canada,(416) 751-7620,info@soulrebelcannabis.ca,http://www.soulrebelcannabis.ca/,https://www.facebook.com/soulrebelcanada,https://www.instagram.com/soulrebelcanada,,https://www.google.com/maps/dir/?api=1&destination=2416B%20Eglinton%20Avenue%20East%20Scarborough%2C%20ON%20CA%20M1K%202P3,Adult-Use Retail: CRSA1189767,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/307/452/avatar/1615476122-Soul_Rebel_Signature.png?fit=crop&auto=format&w=140&h=140
Cannabis Hut,1715 Victoria Park Ave,"Scarborough, ON CA M1R 1R7",Canada,416-261-9333,cannabishutltd@gmail.com,http://cannabishut.ca/,,,,https://www.google.com/maps/dir/?api=1&destination=1715%20Victoria%20Park%20Ave%20Scarborough%2C%20ON%20CA%20M1R%201R7,,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/310/273/avatar/1637960115-victoria_park_storefront_.jpeg?fit=crop&auto=format&w=140&h=140
Whappy Cannabis,2075 Lawrence Avenue East,"Scarborough, ON CA M1R2Z4",Canada,1-888-969-2594,info@whappy.ca,https://whappy.ca/,https://www.facebook.com/whappycan,https://www.instagram.com/whappycannabis,https://twitter.com/whappycannabis,https://www.google.com/maps/dir/?api=1&destination=2075%20Lawrence%20Avenue%20East%20Scarborough%2C%20ON%20CA%20M1R2Z4,Adult-Use Retail: CRSA1172433,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/303/664/avatar/1603464638-WhappyLogoLinkedIn1200px.png?fit=crop&auto=format&w=140&h=140
Ciao Canna,2155 Lawrence Ave E Unit 4,"Scarborough, ON CA M1R 5G9",Canada,647-277-9835,info@ciaocanna.com,http://ciaocanna.com/,,,https://twitter.com/ciaocanna,https://www.google.com/maps/dir/?api=1&destination=2155%20Lawrence%20Ave%20E%20Unit%204%20Scarborough%2C%20ON%20CA%20M1R%205G9,Adult-Use Retail: 1196447,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/311/304/avatar/1634069654-ciao_button-01.jpg?fit=crop&auto=format&w=140&h=140
Stok'd Cannabis - 631 Pharmacy at St. Clair,631 Pharmacy Ave,"Scarborough, ON CA M1L 3H3",Canada,(416) 757-8653,clairlea@stokd.ca,https://www.stokd.ca/,,,https://www.facebook.com/imstokd,https://www.google.com/maps/dir/?api=1&destination=631%20Pharmacy%20Ave%20Scarborough%2C%20ON%20CA%20M1L%203H3,Adult-Use Retail: CRSA1179887,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/117/avatar/1614173351-Screen_Shot_2021-02-24_at_8.28.52_AM.png?fit=crop&auto=format&w=140&h=140
Cost Cannabis,3443 St. Clair Ave E.,"Scarborough, ON CA M1L 1W6",Canada,(416) 266-0110,info@costcannabis.ca,https://costcan.ca/,,,,https://www.google.com/maps/dir/?api=1&destination=3443%20St.%20Clair%20Ave%20E.%20Scarborough%2C%20ON%20CA%20M1L%201W6,Adult-Use Retail: CRSA1203183,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/309/542/avatar/1629142781-20210715_130439_hdr__1_.jpg?fit=crop&auto=format&w=140&h=140
Utopia Cannabis,1252 Lawrence Ave E,"North York, ON CA M3A 1C3",Canada,416-390-9333,utopiacannabis@gmail.com,http://utopiatoronto.com/,,,https://www.facebook.com/@utopiatoronto,https://www.google.com/maps/dir/?api=1&destination=1252%20Lawrence%20Ave%20E%20North%20York%2C%20ON%20CA%20M3A%201C3,Adult-Use Retail: CRSA1172507,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 8:00PM,11:00AM - 6:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/306/016/avatar/1647375539-20210619_171527.jpg?fit=crop&auto=format&w=140&h=140
Kiosk Cannabis - TO,985 O'Connor Dr,"Toronto, ON CA M4B 2T1",Canada,(416) 615 2946,info@kioskcannabis.com,https://kioskcannabis.com/,,,https://twitter.com/@kioskcannabis,https://www.google.com/maps/dir/?api=1&destination=985%20O%27Connor%20Dr%20Toronto%2C%20ON%20CA%20M4B%202T1,Adult-Use Retail: CRSA1190994,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,11:00AM - 8:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/306/633/avatar/1669648922-d7cef34b-c114-4fed-b6ab-54ccce6f51df.jpg?fit=crop&auto=format&w=140&h=140
Breaking Bud Cannabis - Eglinton E,2683 Eglinton Avenue East,"Scarborough, ON CA M1K 2S2",Canada,(647) 795-3809,thebreakingbudcannabis@gmail.com,https://www.breakingbudcannabis.ca/,,,,https://www.google.com/maps/dir/?api=1&destination=2683%20Eglinton%20Avenue%20East%20Scarborough%2C%20ON%20CA%20M1K%202S2,Adult-Use Retail: CRSA1224097,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 9:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/317/470/avatar/1649705654-screen_shot_2022-04-11_at_32733_pm.png?fit=crop&auto=format&w=140&h=140
"Your Local Cannabis - Scarborough, Kennedy & Lawrence",1260 Kennedy Road – Unit 9,"Scarborough, ON CA M1P 2L3",Canada,416 551-2550,highkennedy@yourlocalcannabis.com,https://yourlocalcannabis.com/,,,https://www.facebook.com/Local-Cannabis-103431621341494,https://www.google.com/maps/dir/?api=1&destination=1260%20Kennedy%20Road%20%E2%80%93%20Unit%209%20Scarborough%2C%20ON%20CA%20M1P%202L3,Adult-Use Retail: CRSA1172368,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/304/765/avatar/1626973552-_a7r0474.jpg?fit=crop&auto=format&w=140&h=140
Weedjar - Eglinton,2807 Eglinton Ave E.,"Scarborough, ON CA M1J 2E1",Canada,647-426-5595,info@weedjar.ca,http://weedjar.ca/,,,https://twitter.com/intheweedjar,https://www.google.com/maps/dir/?api=1&destination=2807%20Eglinton%20Ave%20E.%20Scarborough%2C%20ON%20CA%20M1J%202E1,Adult-Use Retail: CRSA1214045,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/321/667/avatar/1660181575-profile_picture_logo.jpg?fit=crop&auto=format&w=140&h=140
Meta Cannabis Supply Co. - Ellesmere Road,85 Ellesmere Road,"Scarborough, ON CA M1R 4C1",Canada,(416) 613-8045,info@metacannabis.com,https://www.metacannabis.com/,,,https://www.facebook.com/themetaco,https://www.google.com/maps/dir/?api=1&destination=85%20Ellesmere%20Road%20Scarborough%2C%20ON%20CA%20M1R%204C1,,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/305/126/avatar/1603995210-META_LOGO__.png?fit=crop&auto=format&w=140&h=140
Wavy Buds Recreational Cannabis - Kingston Road,2448 Kingston Road,"Scarborough, ON CA M1N 1V3",Canada,647-343-9333,support@wavybuds.net,https://www.wavybuds.net/,,,,https://www.google.com/maps/dir/?api=1&destination=2448%20Kingston%20Road%20Scarborough%2C%20ON%20CA%20M1N%201V3,Adult-Use Retail: CRSA1185689,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/121/avatar/1613516695-Main_Logo_Black_Text.png?fit=crop&auto=format&w=140&h=140
Stok'd Cannabis - Kingston Road,2408 KINGSTON RD,"Scarborough, ON CA M1N 1V2",Canada,(416) 266-6262,cliffside@stokd.ca,https://www.stokd.ca/,,,https://www.facebook.com/imstokd,https://www.google.com/maps/dir/?api=1&destination=2408%20KINGSTON%20RD%20Scarborough%2C%20ON%20CA%20M1N%201V2,,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/118/avatar/1618334921-stokd.jpeg?fit=crop&auto=format&w=140&h=140
Growers Retail - Thomson Park,821 Brimley Road,"Scarborough, ON CA M1J 1C9",Canada,416-408-1111,info@growersretailcannabis.ca,https://growersretailcannabis.ca/,,,https://www.instagram.com/growersretail,https://www.google.com/maps/dir/?api=1&destination=821%20Brimley%20Road%20Scarborough%2C%20ON%20CA%20M1J%201C9,Adult-Use Retail: CRSA1189330,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/253/avatar/1614105755-growers_retail_logo.jpg?fit=crop&auto=format&w=140&h=140
Cannabis Place,653 Victoria Park Ave,"Scarborough, ON CA M4C5P1",Canada,416-901-1420,info@rainbowcannabisplace.com,http://www.rainbowcannabisplace.com/,,,,https://www.google.com/maps/dir/?api=1&destination=653%20Victoria%20Park%20Ave%20Scarborough%2C%20ON%20CA%20M4C5P1,Adult-Use Retail: CRSA1193708,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/310/695/avatar/1631300484-front_1.jpg?fit=crop&auto=format&w=140&h=140
Flowers Cannabis Shop - Scarborough,880 Ellesmere Road,"Toronto, ON CA M1P 2W6",Canada,(416) 297 8000,info@flowerscannabis.ca,https://www.flowerscannabis.ca/,,,https://www.instagram.com/shopflowerscannabis,https://www.google.com/maps/dir/?api=1&destination=880%20Ellesmere%20Road%20Toronto%2C%20ON%20CA%20M1P%202W6,Adult-Use Retail: CRSA1204689,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/310/271/avatar/1629225855-flowers.jpeg?fit=crop&auto=format&w=140&h=140
Nature's Canopy House,1359 Woodbine Ave,"Toronto, ON CA M4C 4G4",Canada,437-900-1973,info@naturescanopyhouse.com,https://naturescanopyhouse.com/shop.html?dtche%5Blocation%5D=natures-canopy-house-woodbine,,,,https://www.google.com/maps/dir/?api=1&destination=1359%20Woodbine%20Ave%20Toronto%2C%20ON%20CA%20M4C%204G4,Adult-Use Retail: CRSA1196831,11:00AM - 9:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 9:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/309/480/avatar/1625073067-1612277335514.jpeg?fit=crop&auto=format&w=140&h=140
Brainporium,1910 Kennedy Rd Unit 4,"Scarborough, ON CA M1P 2L8",Canada,647-247 7123,info@brainporium.com,http://brainporium.com/,,,https://www.facebook.com/Brainporium-Cannabis-Dispensary-102084072054628,https://www.google.com/maps/dir/?api=1&destination=1910%20Kennedy%20Rd%20Unit%204%20Scarborough%2C%20ON%20CA%20M1P%202L8,,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 8:00PM,11:00AM - 5:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/312/541/avatar/1634591848-a33d8d0a-c125-4b3c-890d-8cd44848240a.jpeg?fit=crop&auto=format&w=140&h=140
Premium Cannabis Inc.,2934 Danforth Ave,"Toronto, ON CA M4C1M5",Canada,(416) 693-2737,premiumcannabisinc@gmail.com,http://www.premiumcannabisinc.ca/,,,,https://www.google.com/maps/dir/?api=1&destination=2934%20Danforth%20Ave%20Toronto%2C%20ON%20CA%20M4C1M5,Adult-Use Retail: CRSA1185812,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,9:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/308/236/avatar/1629753145-screen_shot_2021-08-23_at_21127_pm.png?fit=crop&auto=format&w=140&h=140
