brand,dispensary,name,type,description,thc,cbd,size,price,image
Cookies Canada,"['Culture Rising - Milton', 'Your Local Cannabis - Stouffville']",SLK - Live Resin 510 Vape Cartridge,Cartridge,GP20 has a strong gas aroma with a super-smooth burnt rubber finish. GP20 is known for its dense dark purple and green buds with fiery orange hairs.,76.29% ,,1/2 g,$34.77,https://images.weedmaps.com/products/000/205/141/avatar/1607629311-Screen_Shot_2020-12-10_at_2.41.24_PM.png?fill=solid&fit=crop&auto=format&w=240&h=240
Greybeard Cannabis,"['Chamba Cannabis Co Inc', 'Culture Rising - Milton']",Twd.28 Sativa,Infused Flower,"Greybeard’s Vape Cartridges start from the same premium Live Resin as their Terp Slush dab products, which means they are carefully made with extract sourced from fresh cannabis grown outdoors in Simcoe, Ontario.
As they harvest, their crop is flash-frozen, suspending the cannabinoids and terpenes until finally extracted through their proprietary hydrocarbon process.
The result is an aromatic and flavourful Live Resin, retaining twice the terpene content vs. CO2 extracted dried flower, and allowing them to capture a lush and vivid representation of their beautiful SLK trees at the peak of their outdoor bloom.
Greybeard uses premium AVD 510 Thread cartridges with a 2.0 aperture to ensure a smooth and consistent draw with maximum flavour and a minimum of off-notes, and their unique sliding-top Greybeard tin offers you a premium, reusable and fully recyclable package that minimizes waste.",20% ,0.15% ,1 oz,$113.27,https://images.weedmaps.com/products/000/261/856/avatar/1643139187-101410_2.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Twd.28,"['BUDSSMOKE - Burlington', 'Village Buds']",Twd.28 Blue Dream,Flower,"Twd.28 Sativa™ is a 28 g offering of dried sativa cannabis flower with very strong THC potency potential (17-23%). 

When you want high quality at a good price, look for Twd. 28™. 

It's that simple.",18% ,,1 oz,$119.99,https://images.weedmaps.com/products/000/261/858/avatar/1643139010-101635_2.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Twd.28,['Little House Cannabis - 307 Wellesley St E'],Blackberry Lemonade 1:1:1 CBN/CBD/THC,Gummies,"A sativa-dominant hybrid strain. Its buds are complemented by an orange hue and a complex aroma. Some associate skunky, floral, and sweet flavours with the Twd.28 Blue Dream strain.",10mg ,,Each,$4.95,https://images.weedmaps.com/products/000/401/794/avatar/1658506821-pearls-blackberrylemonade-branded-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Pearls,"['Erbn Green Cannabis Co - Dundas W', 'Mota Toke', 'Red Rock Cannabis Co']",Wana Quick Orchard Peach Sativa,Gummies,"Turn any night into a dream with Blackberry Lemonade Pearls. Infused with equal parts CBN, CBD, and THC, each sugar-coated pearl gives your tastebuds a tart pucker of blackberry lemonade and contains 2 mg of CBN, 2 mg of CBD, and 2 mg of THC. Pearls are bursting with natural flavour, and coated in sugar for a sweet treat no matter where you are. Bring them on the go, enjoy them with friends, or indulge in a night in by yourself because Pearls go with everything. 5 gummies per pack.",,,Each,$9.57,https://images.weedmaps.com/products/000/260/670/avatar/1620239703-orchard-peach-arch-1200x1200.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['Matchbox Cannabis - Rogers Rd', 'Wonder Pot', 'Green Maple Cannabis']",Wana Sour Gummies Strawberry Lemonade 1:1,Gummies,"Wana Quick Orchard Peach gummies are ripe with juicy peach flavour and infused with 10 mg of sativa enhanced THC distillate per package. These gummies are handcrafted using a recipe made with pectin, never gelatin, and enhanced with over 30 terpenes. Using a culinary innovation by Azuca Time Infusion TM, Wana Quick gummies may result in a quicker onset and offset of effects*.

*Health Canada states that it can take up to 4 hours to feel the full effects from eating or drinking cannabis. Consuming more within this time period can result in adverse effects that may require medical attention. The effects from eating or drinking cannabis can be long-lasting. The effects can last between 6-& 12-hours following use.

Total mg THC per package: 10mg",,,Each,$8.97,https://images.weedmaps.com/products/000/260/655/avatar/1620238467-1200px-x-1200px-strawberry-lemonade.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['BUDSSMOKE - Burlington', 'Matchbox Cannabis - Rogers Rd', 'Wonder Pot']",Blue Razzleberry 3:1 CBG:THC,Gummies,Bright citrus flavours are balanced with lush strawberry undertones in Strawberry Lemonade 1:1 Wana Sour Gummies; handcrafted with pectin and a terpene-enhanced distillate. 10 mg THC and 10 mg CBD per package.,10mg ,,Each,$4.95,https://images.weedmaps.com/products/000/401/785/avatar/1658505693-pearls-bluerazzleberry-branded-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Pearls,"['Spiritleaf | Parkdale (Queen Street West)', 'Spiritleaf - Bloor West Village', 'Spiritleaf - Stockyards']",Lemon Lavender Social Tonic (4pk),Drinks,"Stay lifted all day long with a burst of bright blueberries, raspberries, and lemons in Pearls Blue Razzleberry. Infused with CBG and THC in an uplifting 3:1 ratio, each sugar-coated gummy has 6 mg of CBG, and 2 mg of THC. Pearls are bursting with natural flavour, and coated in sugar for a sweet treat no matter where you are. Bring them on the go, enjoy them with friends, or indulge in a night in by yourself because Pearls go with everything. 5 gummies per pack.",8mg ,0.07% ,Each,$20.99,https://images.weedmaps.com/products/000/385/200/avatar/1654099520-cann_lemonlavender_core_1200x1200.png?fill=solid&fit=crop&auto=format&w=240&h=240
Cann,['High Park Cannabis Co'],Wana Quick Island Punch Indica,Gummies,"Smooth and unexpected, Lemon Lavender is a fan favorite. Refreshing and not too sweet, a Lemon Lavender Cann will leave you feeling perfectly social and just a little buzzed. Have one or have five: no hangovers here, just the right amount of lift wrapped up in a delicious beverage.

2mg THC 4mg CBD per Cann (4 per pack)

Ingredients: carbonated water, organic lemon juice, organic agave nectar, cannabis extract, natural lavender flavor.",10% ,0.1% ,2 g,$8.50,https://images.weedmaps.com/products/000/339/528/avatar/1642181775-islandpunch-branded-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,['High Park Cannabis Co'],Wana Sour Gummies Blueberry Indica,Gummies,"Wana Quick Island Punch Gummies will whisk you away on an island adventure with a combination of tropical flavours like grape, orange, cherry, and pineapple. Handcrafted with pectin (never gelatin) for an elevated texture, Wana Quick Island Punch Gummies are made with a terpene-enhanced indica blend. These gummies use Azuca Time Infusion, a culinary innovation which can result in a quicker onset and offset of effects.* Each gummie contains 5 mg of THC, with 2 gummies per package.

*Health Canada: It can take up to 4 hours to feel the full effects from eating or drinking cannabis. Consuming more within this time period can result in adverse effects that may require medical attention. The effects from eating or drinking cannabis can be long-lasting. The effects can last between 6 and 12 hours following use.",10mg ,,Each,$8.50,https://images.weedmaps.com/products/000/260/640/avatar/1620237185-1200px-x-1200px-blueberry.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['BUDSSMOKE - Burlington', 'Matchbox Cannabis - Rogers Rd', 'Matchbox Cannabis - Steeles Ave']",Indica,Flower,Experience a mellow tartness and touch of sweetness with Blueberry Indica Wana Sour Gummies; handcrafted with pectin and an indica terpene-enhanced THC distillate. 10 mg THC per package.,20% ,,1/8 oz,$19.99,https://images.weedmaps.com/products/000/205/134/avatar/1607628469-Screen_Shot_2020-12-10_at_2.27.33_PM.png?fill=solid&fit=crop&auto=format&w=240&h=240
Twd.,"['Your Local Cannabis - Scarborough, Kennedy & Lawrence', 'YBH Green']",THC Caramel Mocha Milk Chocolate,Chocolates,"Indica dried flower is a strain with very high THC potency potential and very little CBD. All Twd. products are Canadian-grown, and each plant is carefully cultivated. Where you find Twd., you’ll find value. It’s that simple. This Indica dried flower is available in 3.5 g, 7 g, or 15 g dried flower sizes.",,,Each,$4.31,https://images.weedmaps.com/products/000/271/678/avatar/1623870764-caramel_mocha_milk_branded_bkgrnd_1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Bhang Canada,"['Bodega Boyz - Georgetown', 'Chamba Cannabis Co Inc', 'Your Local Cannabis - Trenton']",Blue Nova,Flower,"Bhang® THC Caramel Mocha Milk Chocolate is infused with real italian espresso, golden caramel, and a hint of vanilla. This bar contains 10 mg of THC and is scored into four pieces.

Ingredients:
Milk chocolate (sugar, milk, cocoa butter, unsweetened chocolate), Natural vanilla flavour, Sunflower lecithin, Soy lecithin, Artificial vanilla flavour, Extra bittersweet chocolate (unsweetened chocolate, sugar), Sunflower lecithin, Natural vanilla flavour, Semi-sweet chocolate (unsweetened chocolate, sugar, cocoa butter), Natural vanilla flavour, Sunflower lecithin, Natural espresso flavour (sunflower oil, flavour), Unsweetened chocolate, Cocoa butter, Natural caramel flavour (sunflower lecithin, flavour), Cannabis extract.",21.3% ,,1/8 oz,$24.99,https://images.weedmaps.com/products/000/203/416/avatar/1607372244-Screen_Shot_2020-12-07_at_3.15.41_PM.png?fill=solid&fit=crop&auto=format&w=240&h=240
Sundial,"['Little House Cannabis - 307 Wellesley St E', 'Matrix Cannabis Company']",Black Cherry Punch,Flower,"Blue Nova is a sativa-dominant hybrid with a sweet berry aroma and sugary flavour. The bud is dense, sticky and rich with trichomes, with THC levels reaching up to 20%.",26% ,,1/8 oz,$31.90,https://images.weedmaps.com/products/000/245/148/avatar/1616088129-Black_Cherry_Punch.jpeg?fill=solid&fit=crop&auto=format&w=240&h=240
Edison Cannabis Co,"['Matchbox Cannabis - Steeles Ave', 'Lovebud - 350 Broadview Ave ** 1HR Free Delivery **', 'Your Local Cannabis - Scarborough, Kennedy & Lawrence']",bliss plus w/ LRTE by dosist - dose pen,Disposable,"Edison’s indica-dominant Black Cherry Punch balances the sweet, tart and floral notes of the fruit it’s named for with potent THC.",84.2% ,,1/4 g,$49.97,https://images.weedmaps.com/products/000/173/604/avatar/1653534780-dose_pen_bliss_plus.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
dosist,"['Wonder Pot', 'Wonder Pot']",Afghani Drifter - Terp Slush,Live Resin,"bliss plus features the purest high potency distillate combined with live resin terpene extract from pink lemonade for an uplifting, focused and energizing effect with fruity and citrus notes.

Our dose pen is custom designed for our high potency plus formulas featuring: smart heat ramp, thermal protection, clean ceramic wick and a medical grade stainless steel heating element for a potent and satisfying cannabis experience.

The dose pen 100 is a precision wellness device engineered to deliver 100 exact 2.5mg doses.
 Formula good for: euphoria, vitality & energy
  ",,40mg ,1/2 g,$36.95,https://images.weedmaps.com/products/000/267/953/avatar/1622642359-1622565150-7c8bcb53-f51b-4fbd-9a15-44b1e0c4e69c.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Greybeard Cannabis,['Culture Rising - Milton'],Florida Citrus Kush Pre-Roll,Pre Roll,"Greybeard Live Resin is made from fresh cannabis grown outdoors at Thrive's cultivation grounds in Simcoe, Ontario and carefully fresh-frozen until extracted. Greybeard’s Live Resin is highly aromatic and flavourful due to our proprietary hydrocarbon extraction process that retains nearly twice the terpene content vs CO2 extraction of dried cannabis grown indoors or in a greenhouse. Terp Slush Concentrate is an upgraded version of HTFSE (High Terpene Full Spectrum Extract) - with Greybeard’s providing easy-to-scoop consistency for use in dab rigs and pens. Afghani Drifter is a hybrid strain whose high cannabinoid potency is balanced by a solid terpene content led by myrcene, caryophyllene, and limonene that give off gobs of hash-y, earthy aromas with a strong hit of funky musk and pepper spice notes.",26% ,,Each,$19.95,https://images.weedmaps.com/products/000/339/491/avatar/1642172853-mr_wm_fck_pre-rolls_floating.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Mood Ring,['Culture Rising - Milton'],GP20 1g Preroll,Pre Roll,"The wonder that is Florida Citrus Kush™—rolled and ready to enjoy in what we’re pretty sure is the world’s finest paper ever. 

Florida Citrus Kush™ is proof you don’t have to quit your job and travel the world barefoot to find what you’re looking for. Teeming with trichomes, this strong indica-dominant hybrid delivers a rich creamy flavour of spicy citrus, a true but subtle Kush aftertaste, and a mellow experience that lasts. 
 Just so you know, nothing but the best bud goes into these pre-rolls. No trim or shake ever. Just premium whole Florida Citrus Kush™ flower—hand trimmed, hang dried and rolled with love in what we’re pretty dang sure is the world’s finest paper. It’s made from 100% organic hemp and sourced from a mill located in a small mountain village, where the water is cold and pure and perfect for making rolling paper. They’ve been doing it since the 1800s—a craft passed down from generation to generation. 
 Highly excellent bud wrapped in organic hemp rolling paper crafted by proud artisans basking in the alpenglow of one of the most heavenly mountain ranges in the world. Seriously, could our Florida Citrus Kush™ pre-rolls be the best thing ever or what?

Available in 2 x 0.5g format  
THC 19-29%
Dominant Terpenes: Limonene, Linalool, Myrcene, Caryophyllene, Fenchol",,,1 g,$17.95,https://images.weedmaps.com/products/000/296/393/avatar/1654190907-cookies-gp20-preroll-infographic.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Cookies Canada,['Culture Rising - Milton'],Purplefarm Genetics Sour Glue,Infused Flower,GP20 has a strong gas aroma with a super-smooth burnt rubber finish. GP20 is known for its dense dark purple and green buds with fiery orange hairs.,,,1/8 oz,$48.95,https://images.weedmaps.com/products/000/310/373/avatar/1634305034-sour_glue_bp_w_bud_-_1600_x_1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Artisan Batch,['Culture Rising - Milton'],3 second (white) dose controller (rechargeable battery) by dosist,Pull,"Purplefarm Genetics Sour Glue is a cross between Gorilla Glue #4 and Sour Diesel. Purplefarm Genetics combines decades of practical growing knowledge with data and technology, producing terpene-rich and cannabinoid-rich cannabis. Sour Glue is grown indoors in environmentally controlled grow rooms using ProMix HP+ with Mycorrhizae and Californian Luxx HPS lighting. Heat, humidity, air pressure and CO2 are controlled while the plants are dosed with nutrients on a weekly basis. Each plant is hand harvested and hang dried cold for two weeks. From there, they’re hand trimmed, cold-barrel cured, and burped daily for 21 days to ensure ideal quality. The large to medium buds are nearly entirely covered in frosty trichomes, with a citrus diesel aroma and a peppery, cedar finish. Purplefarm Genetics Sour Glue has 20-26% THC and >3% terpenes, led by myrcene, limonene, and caryophyllene.",,,Each,$21.57,https://images.weedmaps.com/products/000/185/599/avatar/1600541853-Screen_Shot_2020-09-19_at_8.14.37_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
dosist,['Wonder Pot'],Big Chocolate Cookie,Cookies,"The dose controller (battery) is part of the dose pen rechargeable system and works exclusively with dosist pods (sold separately).

The dose controller is powered by a UL1642 certified 150 mAh rechargeable lithium-ion battery and driven by an intelligent microcontroller unit (MCU) delivering a precise 2.5 mg dose of our targeted formulas.

Includes one Type-A USB charging cable",,,Each,$7.50,https://images.weedmaps.com/products/000/286/077/avatar/1628271364-srb_big_chocolate_with_cookie.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Slow Ride Bakery,['Matchbox Cannabis - Steeles Ave'],Wana Sour Gummies: Blueberry Indica,Gummies,"Attention chocolate and cannabis lovers everywhere: Slowride Bakery’s Big Chocolate Cookie is here to satisfy your cravings. These cookies are small-batch and handmade with premium concentrates and three types of chocolate: milk, dark, and dutch cocoa powder. The soft and buttery texture mimics that of a brownie to satisfy your sweet tooth with a cannabis kick. Slowride Bakery sources premium ingredients, never using preservatives. Each 20 g cookie contains 10 mg of THC, with one cookie per package. These cookies can be frozen for up to three months to enjoy later. Slowride Bakery is locally owned and operated in Ottawa, Ontario.  ",5mg ,,Each,$7.92,https://images.weedmaps.com/products/000/105/970/avatar/1671564872-46o6vsyq.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Wana Edibles,"['Ambrosia Cannabis Emporium', 'Scarlet Fire Cannabis Co', 'BUDZYS CANNABIS']",Point Break,Flower,"100mg THC per package | 10mg THC per piece
Infused with a terpene-enhanced indica blend, these not-too-sweet, not-too-tart gummies can evoke feelings of relaxation and calm.
Vegan and Gluten-FreeSweetened with Organic Ingredients (No High-Fructose Corn Syrup)All-Natural Flavors and ColorsEnhanced with 30+ TerpenesChild-Proof, Food-Safe, Sustainable Packaging

State: Colorado
wanabrands.com",28.19% ,,1/8 oz,$74.57,https://images.weedmaps.com/products/000/207/951/avatar/1608124269-Screen_Shot_2020-12-16_at_8.09.30_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Qwest Cannabis,['Wonder Pot'],Organic BC White Grape OG 3.5g - Organic BC White Grape OG 3.5g Dried Flower,Flower,"Point Break is a one of a kind cultivar with a fragrance of minty creamy oranges. It's a challenge to describe the complex yet inviting terpene profile until experienced. The sweet undertones may come as a surprise at first smell with its deep skunky aromas. And when indulged, the first taste on inhale is a coating of flavour from oranges to fuel on the exhale. A unique taste and profile, unlike the ordinary.",24.5% ,,Each,$49.50,https://images.weedmaps.com/pictures/listings/949/091/785/425807447_sds6b4onps5ychs0k2ys.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Deep Space,Drinks,,10mg ,5mg ,Each,$7.15,https://images.weedmaps.com/products/000/204/634/avatar/1607548994-Screen_Shot_2020-12-09_at_4.22.58_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Deep Space,"['Erbn Green Cannabis Co - Dundas W', 'Spiritleaf - Stockyards', 'Spiritleaf - Imperial Centre']",AK-47 Autoflower Seeds,Seeds,"Small, potent and ready-to-go. Prepare for the bold taste of this dark, full-flavoured 10 mg THC, carbonated drink in a 222 mL sleek can.",,0.5% ,Each,$52.00,https://images.weedmaps.com/pictures/listings/599/441/354/425106226_9a028afe-8a73-4209-8f78-55e8e5bdbce2.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Passionfruit & Guava Sparkling Water,Drinks,,,0.25% ,Each,$6.00,https://images.weedmaps.com/products/000/207/966/avatar/1608126011-Screen_Shot_2020-12-16_at_8.39.11_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Quatreau,"['Sessions Cannabis - North York', 'Marley Natural', 'Tokyo Smoke - 333 Yonge St']",THC Oral Strips,Edibles,Quatreau Passionfruit & Guava is a deliciously refreshing cannabis-infused sparkling water beverage. With 20 mg of CBD it’s a satisfying and delightful choice. Quatreau is about taking back me time. About making situations a little more simple.,,,Each,$39.97,https://images.weedmaps.com/products/000/267/733/avatar/1622564293-0bab7b99-42fa-4e7b-8429-2a10b6c708fa.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Being Cannabis,"['Wonder Pot', 'Wonder Pot', 'Wonder Pot']",Balanced 15:15 Oil,Tincture,"Being Fast Acting Oral THC QuickStrip™ is a smoke-free cannabis alternative that delivers more cannabinoids per equivalent dose, faster, than other non-combustible formats. Each QuickStrip delivers cannabinoids rapidly by micronizing cannabis oils and suspending them evenly in a thin film. And when dissolved under the tongue each THC QuickStrip delivers its cannabinoids with greater impact than edibles, oils or capsules containing similar amounts of THC because it bypasses the digestive system. Being strips can easily be torn into smaller segments for micro-dosing. Sold in pouches of 10 strips (10 mg THC ea), with each strip hermetically sealed in individual wrappers for perfect portability. Being strips are nut-free, and contain no animal products. Naturally flavoured with peppermint oil.",,,Each,$28.45,https://images.weedmaps.com/products/000/343/733/avatar/1643312233-mr_wm_balanced_oil_floating.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Mood Ring,['Cori - Queen St W'],PAX Era Pro - Jade,Pull,"Containing equal amounts of THC and CBD, it brings the best of both worlds together in perfect harmony. Want to lift your spirits but stay on the ground? Party but not too much? We hear you. Mood Ring Balanced 15:15 Oil is just the thing for those special win-win situations.

What’s in it? Nothing but the best and simplest ingredients—450mg each of THC and CBD, blended with organic extra virgin olive oil. We use our patented cold ethanol extraction process to create a full spectrum concentrate that preserves the terpene profile of the plant and provides a natural, earthy aroma and flavour. 

On top of all that awesomeness, Mood Ring Balanced 15:15 Oil is vegan-friendly, non-GMO and packaged in an eco-friendly glass bottle. And every time you make a purchase, we contribute to the planting of a tree thanks to our partnership with One Tree Planted. Nice, right? ",,25.3% ,Each,$59.99,https://images.weedmaps.com/products/000/184/443/avatar/1590014044-Screen_Shot_2020-05-20_at_4.33.34_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
PAX,"[""Offside Cannabis - Lundy's Lane"", 'Offside Cannabis - Clifton']",HP Indica PRJ - 91 Krypt,Pre Roll,"Elevate your experience when you choose the all-new Era Pro. More predictability, control, and potency than ever before. This all-new cannabis oil vaporizer features a discreet and attractive design that provides an ideal in-hand feel including state of the art technology and ultramodern specs.
• UL-certified for a safer battery experience.
• PAXSmart™ pods remember your favorite temperature and dose settings, so you can enjoy each strain and flavor exactly how you like it.
• PodID™ delivers instant access to pod safety reports.
• ExpertTemp™ sets your pod temperature to the extractor’s recommendation.",22% ,4mg ,Each,$10.99,https://images.weedmaps.com/products/000/281/358/avatar/1626882101-2pack_prerolled_bottle_indica_wb.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
